threshold;tpr;fpr;ks;n_good;n_default;interest_good;mean_loan_default;mean_ann_default;mean_term_default;r_monthly;interest_default;rejected_good;rejected_default;approved_good;approved_default
0.2742820129404919;0.19875025196532958;0.029265442699573322;0.16948480926575626;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1653;986;54830;3975
0.27416202131143125;0.19875025196532958;0.029336260467751358;0.16941399149757821;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1657;986;54826;3975
0.27403268386297014;0.19895182422898608;0.029336260467751358;0.1696155637612347;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1657;986;54826;3974
0.2737435811607004;0.19895182422898608;0.02946019156206292;0.16949163266692316;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1664;986;54819;3974
0.2737340796850233;0.1991533964926426;0.02946019156206292;0.16969320493057968;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1664;988;54819;3973
0.27365207301209044;0.1991533964926426;0.02947789600410743;0.16967550048853516;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1665;988;54818;3973
0.2736233535862838;0.19955654101995565;0.02947789600410743;0.1700786450158482;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1665;990;54818;3971
0.27316313362331507;0.19955654101995565;0.029601827098418992;0.16995471392153666;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1672;990;54811;3971
0.2731572144570944;0.19975811328361218;0.029601827098418992;0.17015628618519318;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1672;991;54811;3970
0.2730527957371696;0.19975811328361218;0.029690349308641537;0.17006776397497064;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1677;991;54806;3970
0.27304295541067236;0.1999596855472687;0.029690349308641537;0.17026933623862717;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1677;992;54806;3969
0.27297947233954256;0.1999596855472687;0.029725758192730555;0.17023392735453816;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1679;992;54804;3969
0.2729618184914187;0.20016125781092522;0.029725758192730555;0.17043549961819468;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1679;993;54804;3968
0.2726798253954697;0.20016125781092522;0.029849689287042118;0.1703115685238831;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1686;993;54797;3968
0.27251755129170285;0.20036283007458175;0.029849689287042118;0.17051314078753962;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1686;994;54797;3967
0.2724142840674432;0.20036283007458175;0.029902802613175645;0.1704600274614061;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1689;994;54794;3967
0.272253328124876;0.20056440233823825;0.029902802613175645;0.1706615997250626;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1689;994;54794;3966
0.27224153449695815;0.20056440233823825;0.029920507055220154;0.1706438952830181;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1690;994;54793;3966
0.27220018481839536;0.20076597460189477;0.029920507055220154;0.17084546754667462;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1690;996;54793;3964
0.27203079074264835;0.20076597460189477;0.0300090292654427;0.17075694533645208;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1695;996;54788;3964
0.2719112932829565;0.20116911912920782;0.0300090292654427;0.17116008986376513;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1695;998;54788;3963
0.2718859800200187;0.20116911912920782;0.030044438149531717;0.1711246809796761;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1697;998;54786;3963
0.2718522237463159;0.20157226365652087;0.030044438149531717;0.17152782550698914;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1697;1000;54786;3960
0.2717971189552594;0.20157226365652087;0.030097551475665243;0.17147471218085564;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1700;1000;54783;3960
0.2716558393901135;0.20278169723845998;0.030097551475665243;0.17268414576279473;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1700;1006;54783;3955
0.27156181711271443;0.20278169723845998;0.03016836924384328;0.1726133279946167;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1704;1006;54779;3955
0.27151390694652244;0.2029832695021165;0.03016836924384328;0.17281490025827323;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1704;1007;54779;3954
0.2713683106053646;0.2029832695021165;0.030239187012021315;0.1727440824900952;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1708;1007;54775;3954
0.271350863795031;0.20318484176577303;0.030239187012021315;0.17294565475375173;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1708;1008;54775;3953
0.2712796508364956;0.20318484176577303;0.030274595896110333;0.1729102458696627;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1710;1008;54773;3953
0.27123583348987385;0.20338641402942956;0.030274595896110333;0.17311181813331922;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1710;1009;54773;3952
0.2712026526416717;0.20338641402942956;0.030292300338154842;0.17309411369127473;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1711;1009;54772;3952
0.2711972870534944;0.20358798629308608;0.030292300338154842;0.17329568595493125;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1711;1010;54772;3951
0.2709783155553317;0.20358798629308608;0.03032770922224386;0.1732602770708422;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1713;1010;54770;3951
0.270965440095444;0.2039911308203991;0.03032770922224386;0.17366342159815523;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1713;1012;54770;3949
0.2708928435977615;0.2039911308203991;0.030380822548377387;0.17361030827202173;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1716;1012;54767;3949
0.27084944670951744;0.20419270308405563;0.030380822548377387;0.17381188053567825;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1716;1013;54767;3948
0.2708231057989959;0.20419270308405563;0.030398526990421896;0.17379417609363373;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1717;1013;54766;3948
0.27080026588711026;0.20439427534771215;0.030398526990421896;0.17399574835729026;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1717;1014;54766;3947
0.2706859303528948;0.20439427534771215;0.030469344758599932;0.1739249305891122;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1721;1014;54762;3947
0.2706134497082727;0.20459584761136868;0.030469344758599932;0.17412650285276873;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1721;1015;54762;3945
0.2706027129648135;0.20459584761136868;0.03050475364268895;0.17409109396867972;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1723;1015;54760;3945
0.2705981542304885;0.2047974198750252;0.03050475364268895;0.17429266623233625;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1723;1016;54760;3945
0.2705456390071716;0.2047974198750252;0.030557866968822477;0.17423955290620272;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1726;1016;54757;3945
0.2704530636752474;0.20499899213868172;0.030557866968822477;0.17444112516985924;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1726;1017;54757;3944
0.2702939264072947;0.20499899213868172;0.030610980294956004;0.1743880118437257;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1729;1017;54754;3944
0.2701559121771436;0.20540213666599477;0.030610980294956004;0.17479115637103876;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1729;1019;54754;3941
0.2700521877322903;0.20540213666599477;0.03068179806313404;0.17472033860286074;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1733;1019;54750;3941
0.2699876126895553;0.20560370892965127;0.03068179806313404;0.17492191086651723;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1733;1020;54750;3941
0.26948518008069094;0.20560370892965127;0.030876546925623638;0.17472716200402763;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1744;1020;54739;3941
0.26941840667537104;0.2058052811933078;0.030876546925623638;0.17492873426768416;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1744;1021;54739;3940
0.2693570047906676;0.2058052811933078;0.030911955809712656;0.17489332538359514;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1746;1021;54737;3940
0.26934191460050677;0.20600685345696432;0.030911955809712656;0.17509489764725167;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1746;1022;54737;3939
0.2692858257330023;0.20600685345696432;0.030947364693801674;0.17505948876316263;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1748;1022;54735;3939
0.2691803924633852;0.20620842572062084;0.030947364693801674;0.17526106102681915;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1748;1023;54735;3938
